system:time_start,undefined
"Mar 28, 2010",0.18
"Mar 29, 2010",0.143
"Mar 30, 2010",0.31
"Mar 31, 2010",0.198
"Apr 1, 2010",0.226
"Apr 2, 2010",0.171
"Apr 3, 2010",0.223
"Apr 4, 2010",0.195
"Apr 5, 2010",0.182
"Apr 6, 2010",0.197
"Apr 7, 2010",0.145
"Apr 8, 2010",0.234
"Apr 9, 2010",0.162
"Apr 10, 2010",0.201
"Apr 11, 2010",0.164
"Apr 12, 2010",0.28
"Apr 13, 2010",0.232
"Apr 14, 2010",0.151
"Apr 15, 2010",0.188
"Apr 16, 2010",0.143
"Apr 17, 2010",0.191
"Apr 18, 2010",0.238
"Apr 19, 2010",0.406
"Apr 20, 2010",0.211
"Apr 21, 2010",0.304
"Apr 22, 2010",0.238
"Apr 23, 2010",0.22
"Apr 24, 2010",0.339
"Apr 25, 2010",0.189
"Apr 26, 2010",0.213
"Apr 27, 2010",0.195
"Apr 28, 2010",0.309
"Apr 29, 2010",0.207
"Apr 30, 2010",0.288
"May 1, 2010",0.356
"May 2, 2010",0.238
"May 3, 2010",0.258
"May 4, 2010",0.191
"May 5, 2010",0.355
"May 6, 2010",0.296
"May 7, 2010",0.527
"May 8, 2010",0.192
"May 9, 2010",0.15
"May 10, 2010",0.187
"May 11, 2010",0.213
"May 12, 2010",0.182
"May 13, 2010",0.185
"May 14, 2010",0.322
"May 15, 2010",0.256
"May 16, 2010",0.146
"May 17, 2010",0.279
"May 18, 2010",0.259
"May 19, 2010",0.274
"May 20, 2010",0.224
"May 21, 2010",0.177
"May 22, 2010",0.176
"May 23, 2010",0.271
"May 24, 2010",0.192
"May 25, 2010",0.141
"May 26, 2010",0.175
"May 27, 2010",0.137
"May 28, 2010",0.298
"May 29, 2010",0.235
"May 30, 2010",0.218
"May 31, 2010",0.189
"Jun 1, 2010",0.169
"Jun 2, 2010",0.199
"Jun 3, 2010",0.247
"Jun 4, 2010",0.311
"Jun 5, 2010",0.23
"Jun 6, 2010",0.184
"Jun 7, 2010",0.605
"Jun 8, 2010",0.285
"Jun 9, 2010",0.25
"Jun 10, 2010",0.206
"Jun 11, 2010",0.216
"Jun 12, 2010",0.18
"Jun 13, 2010",0.258
"Jun 14, 2010",0.197
"Jun 15, 2010",0.176
"Jun 16, 2010",0.519
"Jun 17, 2010",0.19
"Jun 18, 2010",0.176
"Jun 19, 2010",0.156
"Jun 20, 2010",0.226
"Jun 21, 2010",0.233
"Jun 22, 2010",0.309
"Jun 23, 2010",0.26
"Jun 24, 2010",0.347
"Jun 25, 2010",0.393
"Jun 26, 2010",
"Jun 27, 2010",0.234
"Jun 28, 2010",0.448
"Jun 29, 2010",0.264
"Jun 30, 2010",0.248
"Jul 1, 2010",0.652
"Jul 2, 2010",0.326
"Jul 3, 2010",0.381
"Jul 4, 2010",0.422
"Jul 5, 2010",0.69
"Jul 6, 2010",0.709
"Jul 7, 2010",0.409
"Jul 8, 2010",0.345
"Jul 9, 2010",0.288
"Jul 10, 2010",0.29
"Jul 11, 2010",0.43
"Jul 12, 2010",0.486
"Jul 13, 2010",0.403
"Jul 14, 2010",0.254
"Jul 15, 2010",0.535
"Jul 16, 2010",0.329
"Jul 17, 2010",0.574
"Jul 18, 2010",0.349
"Jul 19, 2010",0.615
"Jul 20, 2010",0.709
"Jul 21, 2010",0.634
"Jul 22, 2010",0.709
"Jul 23, 2010",0.288
"Jul 24, 2010",0.444
"Jul 25, 2010",0.419
"Jul 26, 2010",0.504
"Jul 27, 2010",0.716
"Jul 28, 2010",0.274
"Jul 29, 2010",0.289
"Jul 30, 2010",0.556
"Jul 31, 2010",0.739
"Aug 1, 2010",0.514
"Aug 2, 2010",0.327
"Aug 3, 2010",0.277
"Aug 4, 2010",0.322
"Aug 5, 2010",0.725
"Aug 6, 2010",0.268
"Aug 7, 2010",0.487
"Aug 8, 2010",0.298
"Aug 9, 2010",0.476
"Aug 10, 2010",0.494
"Aug 11, 2010",0.581
"Aug 12, 2010",0.645
"Aug 13, 2010",0.417
"Aug 14, 2010",0.458
"Aug 15, 2010",0.373
"Aug 16, 2010",0.443
"Aug 17, 2010",0.446
"Aug 18, 2010",0.638
"Aug 19, 2010",0.658
"Aug 20, 2010",0.549
"Aug 21, 2010",0.577
"Aug 22, 2010",0.604
"Aug 23, 2010",0.446
"Aug 24, 2010",0.589
"Aug 25, 2010",0.725
"Aug 26, 2010",0.49
"Aug 27, 2010",0.208
"Aug 28, 2010",0.376
"Aug 29, 2010",0.297
"Aug 30, 2010",0.38
"Aug 31, 2010",0.373
"Sep 1, 2010",0.436
"Sep 2, 2010",0.551
"Sep 3, 2010",0.582
"Sep 4, 2010",0.558
"Sep 5, 2010",0.529
"Sep 6, 2010",0.215
"Sep 7, 2010",0.582
"Sep 8, 2010",0.682
"Sep 9, 2010",0.38
"Sep 10, 2010",0.338
"Sep 11, 2010",0.285
"Sep 12, 2010",0.656
"Sep 13, 2010",0.484
"Sep 14, 2010",0.549
"Sep 15, 2010",0.624
"Sep 16, 2010",0.499
"Sep 17, 2010",0.657
"Sep 18, 2010",0.731
"Sep 19, 2010",0.79
"Sep 20, 2010",0.489
"Sep 21, 2010",0.375
"Sep 22, 2010",0.575
"Sep 23, 2010",0.348
"Sep 24, 2010",0.424
"Sep 25, 2010",0.166
"Sep 26, 2010",0.175
"Sep 27, 2010",0.139
"Sep 28, 2010",0.128
"Sep 29, 2010",0.15
"Sep 30, 2010",0.129
"Oct 1, 2010",0.153
"Oct 2, 2010",0.132
"Oct 3, 2010",0.166
"Oct 4, 2010",0.131
"Oct 5, 2010",0.153
"Oct 6, 2010",0.142
"Oct 7, 2010",0.157
"Oct 8, 2010",0.176
"Oct 9, 2010",0.146
"Oct 10, 2010",0.168
"Oct 11, 2010",0.137
"Oct 12, 2010",0.166
"Oct 13, 2010",0.126
"Oct 14, 2010",0.1
"Oct 15, 2010",0.13
"Oct 16, 2010",0.103
"Oct 17, 2010",0.175
"Oct 18, 2010",0.158
"Oct 19, 2010",0.172
"Oct 20, 2010",0.158
"Oct 21, 2010",0.206
"Oct 22, 2010",0.187
"Oct 23, 2010",0.322
"Oct 24, 2010",0.186
"Oct 25, 2010",0.135
"Oct 26, 2010",0.173
"Oct 27, 2010",0.133
"Oct 28, 2010",0.161
"Oct 29, 2010",0.139
"Oct 30, 2010",0.141
"Oct 31, 2010",0.229
"Nov 1, 2010",0.133
"Nov 2, 2010",0.159
"Nov 3, 2010",0.122
"Nov 4, 2010",0.175
"Nov 5, 2010",0.123
"Nov 6, 2010",0.126
"Nov 7, 2010",0.131
"Nov 8, 2010",0.105
"Nov 9, 2010",0.14
"Nov 10, 2010",0.108
"Nov 11, 2010",0.165
"Nov 12, 2010",0.131
"Nov 13, 2010",0.168
"Nov 14, 2010",0.122
"Nov 15, 2010",0.104
"Nov 16, 2010",0.172
"Nov 17, 2010",0.124
"Nov 18, 2010",0.305
"Nov 19, 2010",0.228
"Nov 20, 2010",0.197
"Nov 21, 2010",0.132
"Nov 22, 2010",0.4
"Nov 23, 2010",0.347
"Nov 24, 2010",0.404
"Nov 25, 2010",0.19
"Nov 26, 2010",0.158
"Nov 27, 2010",0.178
"Nov 28, 2010",0.124
"Nov 29, 2010",0.153
"Nov 30, 2010",0.122
"Dec 1, 2010",0.103
"Dec 2, 2010",0.133
"Dec 3, 2010",0.101
"Dec 4, 2010",0.144
"Dec 5, 2010",0.105
"Dec 6, 2010",0.154
"Dec 7, 2010",0.113
"Dec 8, 2010",0.113
"Dec 9, 2010",0.141
"Dec 10, 2010",0.139
"Dec 11, 2010",0.147
"Dec 12, 2010",0.12
"Dec 13, 2010",0.217
"Dec 14, 2010",0.109
"Dec 15, 2010",0.149
"Dec 16, 2010",0.117
"Dec 17, 2010",0.103
"Dec 18, 2010",0.149
"Dec 19, 2010",0.122
"Dec 20, 2010",0.154
"Dec 21, 2010",0.109
"Dec 22, 2010",0.167
"Dec 23, 2010",0.128
"Dec 24, 2010",0.126
"Dec 25, 2010",0.131
"Dec 26, 2010",0.274
"Dec 27, 2010",0.149
"Dec 28, 2010",0.171
"Dec 29, 2010",0.322
"Dec 30, 2010",0.682
"Dec 31, 2010",0.871
"Jan 1, 2011",0.391
"Jan 2, 2011",0.424
"Jan 3, 2011",0.438
"Jan 4, 2011",0.289
"Jan 5, 2011",0.436
"Jan 6, 2011",0.374
"Jan 7, 2011",0.461
"Jan 8, 2011",0.421
"Jan 9, 2011",0.438
"Jan 10, 2011",0.411
"Jan 11, 2011",0.336
"Jan 12, 2011",0.401
"Jan 13, 2011",0.264
"Jan 14, 2011",0.434
"Jan 15, 2011",0.625
"Jan 16, 2011",0.465
"Jan 17, 2011",0.364
"Jan 18, 2011",0.266
"Jan 19, 2011",0.281
"Jan 20, 2011",0.365
"Jan 21, 2011",0.294
"Jan 22, 2011",0.281
"Jan 23, 2011",0.321
"Jan 24, 2011",0.255
"Jan 25, 2011",0.218
"Jan 26, 2011",0.248
"Jan 27, 2011",0.224
"Jan 28, 2011",0.299
"Jan 29, 2011",0.339
"Jan 30, 2011",0.538
"Jan 31, 2011",0.23
"Feb 1, 2011",0.285
"Feb 2, 2011",0.226
"Feb 3, 2011",0.189
"Feb 4, 2011",0.232
"Feb 5, 2011",0.232
"Feb 6, 2011",0.45
